,cname,avgscrread,avgscreng,avgscrmath,avgscrsci,numtsttakr
817,Stanislaus,0.0,0.0,0.0,0.0,2.0
818,Monterey,19.0,19.0,18.0,19.0,35.0
819,Los Angeles,21.0,19.0,19.0,19.0,102.0
820,San Diego,16.0,13.0,16.0,15.0,17.0
822,Fresno,23.0,21.0,22.0,21.0,41.0
824,Alameda,21.0,21.0,22.0,21.0,108.0
825,San Francisco,20.0,19.0,19.0,19.0,50.0
826,Santa Clara,20.0,20.0,20.0,20.0,100.0
827,Lake,0.0,0.0,0.0,0.0,2.0
828,Los Angeles,26.0,26.0,21.0,22.0,36.0
829,Los Angeles,29.0,29.0,29.0,28.0,138.0
830,San Diego,25.0,26.0,25.0,25.0,248.0
832,Orange,24.0,23.0,22.0,22.0,59.0
833,San Diego,29.0,29.0,27.0,27.0,112.0
834,Los Angeles,24.0,23.0,21.0,21.0,42.0
835,Los Angeles,22.0,20.0,21.0,20.0,41.0
836,Orange,24.0,25.0,25.0,23.0,199.0
837,Riverside,22.0,20.0,20.0,21.0,62.0
838,Los Angeles,23.0,22.0,23.0,22.0,70.0
839,Riverside,18.0,18.0,19.0,19.0,61.0
842,Orange,0.0,0.0,0.0,0.0,1.0
843,Orange,26.0,27.0,26.0,26.0,165.0
844,Sacramento,24.0,23.0,23.0,23.0,85.0
845,Orange,26.0,26.0,25.0,24.0,66.0
847,Riverside,19.0,18.0,19.0,19.0,92.0
848,Los Angeles,22.0,21.0,21.0,21.0,38.0
849,Los Angeles,21.0,21.0,19.0,20.0,45.0
852,Contra Costa,26.0,26.0,25.0,25.0,128.0
853,Butte,0.0,0.0,0.0,0.0,14.0
854,Lassen,22.0,21.0,21.0,21.0,27.0
855,San Joaquin,21.0,21.0,21.0,21.0,32.0
856,Santa Clara,0.0,0.0,0.0,0.0,5.0
857,Fresno,0.0,0.0,0.0,0.0,8.0
858,Los Angeles,18.0,17.0,17.0,18.0,28.0
859,Mendocino,0.0,0.0,0.0,0.0,1.0
860,Merced,17.0,15.0,17.0,17.0,33.0
861,San Francisco,17.0,15.0,16.0,16.0,26.0
862,Alameda,19.0,18.0,19.0,19.0,134.0
863,Contra Costa,17.0,15.0,17.0,16.0,148.0
864,San Diego,0.0,0.0,0.0,0.0,5.0
867,Los Angeles,0.0,0.0,0.0,0.0,4.0
869,Santa Clara,28.0,28.0,28.0,27.0,133.0
870,Santa Clara,29.0,30.0,29.0,28.0,164.0
871,Kings,20.0,19.0,19.0,19.0,81.0
872,Kings,0.0,0.0,0.0,0.0,3.0
873,Los Angeles,18.0,17.0,19.0,18.0,105.0
874,Sacramento,17.0,16.0,17.0,17.0,69.0
875,Los Angeles,18.0,17.0,17.0,17.0,33.0
