,cname,avgscrread,avgscreng,avgscrmath,avgscrsci,numtsttakr
705,Los Angeles,20.0,21.0,21.0,20.0,15.0
706,Kern,22.0,19.0,20.0,20.0,22.0
707,Los Angeles,22.0,21.0,19.0,20.0,25.0
709,Sacramento,0.0,0.0,0.0,0.0,3.0
710,Los Angeles,17.0,16.0,18.0,18.0,20.0
711,Riverside,22.0,22.0,22.0,21.0,17.0
712,San Mateo,26.0,25.0,25.0,25.0,65.0
713,San Diego,21.0,20.0,20.0,21.0,73.0
714,Merced,22.0,20.0,20.0,20.0,26.0
715,Sacramento,15.0,15.0,18.0,17.0,28.0
716,Los Angeles,20.0,20.0,19.0,20.0,48.0
717,Imperial,20.0,18.0,20.0,19.0,29.0
718,Santa Clara,30.0,30.0,30.0,29.0,197.0
721,San Diego,18.0,17.0,18.0,18.0,206.0
722,Riverside,0.0,0.0,0.0,0.0,1.0
723,Placer,0.0,0.0,0.0,0.0,7.0
724,Contra Costa,0.0,0.0,0.0,0.0,1.0
725,Ventura,21.0,19.0,20.0,19.0,30.0
726,Stanislaus,0.0,0.0,0.0,0.0,12.0
728,Los Angeles,0.0,0.0,0.0,0.0,8.0
729,San Joaquin,0.0,0.0,0.0,0.0,2.0
730,Orange,25.0,24.0,24.0,23.0,205.0
731,Los Angeles,16.0,16.0,17.0,17.0,44.0
732,Los Angeles,18.0,17.0,16.0,16.0,21.0
734,San Diego,0.0,0.0,0.0,0.0,5.0
736,Alameda,18.0,18.0,19.0,18.0,23.0
737,Imperial,23.0,22.0,21.0,22.0,65.0
739,San Joaquin,0.0,0.0,0.0,0.0,2.0
741,Santa Clara,21.0,20.0,21.0,21.0,86.0
743,San Francisco,0.0,0.0,0.0,0.0,2.0
744,Contra Costa,0.0,0.0,0.0,0.0,1.0
745,Kern,20.0,20.0,19.0,20.0,41.0
746,Placer,0.0,0.0,0.0,0.0,2.0
749,Alameda,0.0,0.0,0.0,0.0,1.0
750,Sacramento,18.0,16.0,18.0,17.0,463.0
751,San Bernardino,17.0,16.0,17.0,17.0,110.0
752,Riverside,18.0,17.0,17.0,18.0,45.0
754,Los Angeles,16.0,16.0,16.0,16.0,60.0
759,Fresno,0.0,0.0,0.0,0.0,3.0
761,Sutter,0.0,0.0,0.0,0.0,9.0
762,San Diego,0.0,0.0,0.0,0.0,14.0
763,Butte,0.0,0.0,0.0,0.0,7.0
764,Los Angeles,26.0,25.0,23.0,23.0,54.0
765,Los Angeles,19.0,18.0,18.0,18.0,36.0
768,Orange,28.0,29.0,29.0,28.0,139.0
769,Alameda,30.0,31.0,30.0,29.0,111.0
770,Los Angeles,0.0,0.0,0.0,0.0,2.0
773,Los Angeles,18.0,17.0,19.0,17.0,269.0
774,Stanislaus,23.0,22.0,22.0,22.0,88.0
775,Santa Clara,0.0,0.0,0.0,0.0,7.0
776,Alameda,24.0,23.0,24.0,24.0,132.0
777,Los Angeles,20.0,19.0,20.0,19.0,51.0
778,San Mateo,19.0,20.0,19.0,19.0,19.0
779,Solano,20.0,18.0,18.0,19.0,44.0
780,Los Angeles,25.0,25.0,26.0,25.0,51.0
781,Placer,0.0,0.0,0.0,0.0,12.0
782,Los Angeles,0.0,0.0,0.0,0.0,11.0
783,San Joaquin,24.0,22.0,23.0,23.0,25.0
784,Sacramento,24.0,22.0,24.0,23.0,70.0
785,Riverside,22.0,22.0,20.0,21.0,59.0
786,Alameda,26.0,25.0,25.0,24.0,38.0
787,Contra Costa,16.0,16.0,16.0,14.0,15.0
788,Orange,23.0,23.0,23.0,23.0,55.0
789,Los Angeles,21.0,20.0,21.0,20.0,32.0
790,Los Angeles,23.0,22.0,24.0,23.0,44.0
791,Los Angeles,16.0,16.0,17.0,17.0,43.0
792,Stanislaus,23.0,22.0,22.0,22.0,52.0
793,Contra Costa,0.0,0.0,0.0,0.0,4.0
794,Los Angeles,23.0,22.0,22.0,22.0,77.0
796,Los Angeles,18.0,18.0,18.0,19.0,30.0
797,Contra Costa,0.0,0.0,0.0,0.0,13.0
798,Riverside,20.0,19.0,20.0,20.0,118.0
799,San Francisco,16.0,14.0,16.0,15.0,33.0
800,Los Angeles,17.0,16.0,18.0,18.0,107.0
801,Stanislaus,24.0,23.0,23.0,23.0,80.0
802,San Diego,0.0,0.0,0.0,0.0,6.0
803,San Diego,0.0,0.0,0.0,0.0,1.0
804,Orange,0.0,0.0,0.0,0.0,1.0
805,San Bernardino,16.0,14.0,16.0,16.0,424.0
806,Riverside,18.0,17.0,19.0,19.0,98.0
807,Orange,20.0,18.0,18.0,20.0,18.0
808,San Diego,0.0,0.0,0.0,0.0,8.0
809,San Diego,0.0,0.0,0.0,0.0,1.0
810,San Diego,0.0,0.0,0.0,0.0,3.0
811,San Diego,21.0,19.0,21.0,22.0,15.0
813,Lake,19.0,19.0,19.0,18.0,18.0
814,Fresno,22.0,21.0,21.0,23.0,38.0
815,Kern,22.0,21.0,21.0,22.0,20.0
