,cname,pctbothbenchmark12,numtsttakr12
205,Santa Cruz,0.0,2.0
206,Yolo,0.5161,31.0
207,Tehama,0.0,14.0
208,Trinity,0.0,10.0
209,Butte,0.6774,31.0
210,Fresno,0.0,4.0
211,Los Angeles,0.1304,46.0
212,Riverside,0.17079999999999998,439.0
213,Santa Clara,0.5652,46.0
214,Santa Clara,0.0882,34.0
216,Santa Clara,0.8343,344.0
217,Tulare,0.5423,142.0
218,Kern,0.0,2.0
219,Los Angeles,0.4118,34.0
220,Orange,0.0958,407.0
221,Sacramento,0.0,10.0
222,Sacramento,0.0222,45.0
223,San Diego,0.8629000000000001,175.0
224,San Luis Obispo,0.6154,52.0
226,Tuolumne,0.0,8.0
227,San Diego,0.3223,121.0
228,San Diego,0.6812999999999999,182.0
229,San Diego,0.0,1.0
230,Sonoma,0.5495,91.0
231,Los Angeles,0.095,463.0
232,Los Angeles,0.0,1.0
233,Los Angeles,0.8732,205.0
234,Riverside,0.5333,225.0
235,San Diego,0.0,1.0
236,Santa Clara,0.6327,49.0
237,Ventura,0.6386999999999999,119.0
238,San Francisco,0.2929,140.0
240,Los Angeles,0.6701,291.0
241,Riverside,0.0,2.0
242,Sutter,0.0,2.0
243,Alameda,0.0,6.0
244,Alameda,0.0,1.0
245,Butte,0.7726999999999999,22.0
246,Butte,0.0,2.0
248,Butte,0.0,6.0
249,Fresno,0.5333,60.0
251,Kern,0.2434,152.0
252,Kern,0.2541,122.0
253,Los Angeles,0.0,2.0
254,Los Angeles,0.2157,102.0
255,Los Angeles,0.6881,202.0
256,Los Angeles,0.8431000000000001,51.0
257,Monterey,0.0,3.0
258,Monterey,0.0,1.0
259,Alameda,0.0,1.0
260,Alameda,0.3023,43.0
261,Imperial,0.41759999999999997,91.0
262,Los Angeles,0.12,25.0
263,Los Angeles,0.0,54.0
264,Mendocino,0.0,4.0
266,Sacramento,0.0,1.0
267,Contra Costa,0.5,118.0
268,Contra Costa,0.0,5.0
269,Fresno,0.0,3.0
270,Lake,0.3111,45.0
271,Lake,0.2121,33.0
272,Nevada,1.0,32.0
273,Orange,0.8571,168.0
274,Riverside,0.561,287.0
275,San Bernardino,0.0,1.0
276,San Diego,0.2703,74.0
278,Butte,0.0,8.0
279,Kern,0.0,6.0
280,Kern,0.6,30.0
281,Los Angeles,0.8571,266.0
283,Monterey,0.39740000000000003,78.0
284,San Bernardino,0.0,3.0
285,Los Angeles,0.48,25.0
286,Los Angeles,0.21280000000000002,47.0
287,Los Angeles,0.0,1.0
288,Los Angeles,0.0,2.0
289,Los Angeles,0.21760000000000002,193.0
290,Los Angeles,0.1553,206.0
291,Riverside,0.39840000000000003,256.0
293,Fresno,0.2727,22.0
294,Los Angeles,0.9176000000000001,170.0
295,Los Angeles,0.0,5.0
296,Los Angeles,0.0,3.0
297,Los Angeles,0.0,1.0
298,Los Angeles,0.0,2.0
300,Alameda,0.5484,124.0
301,Contra Costa,0.0,1.0
302,Lassen,0.4,40.0
303,Los Angeles,0.21280000000000002,47.0
304,San Bernardino,0.0,3.0
305,Alameda,0.48109999999999997,106.0
306,Humboldt,0.0,4.0
307,Humboldt,0.48210000000000003,56.0
308,Los Angeles,0.1429,42.0
309,Los Angeles,0.0,2.0
310,Riverside,0.0,7.0
311,San Diego,0.20879999999999999,91.0
312,San Diego,0.0,4.0
313,Alameda,0.3116,138.0
315,Mendocino,0.6,30.0
316,Orange,0.5306000000000001,245.0
317,Sacramento,0.5664,113.0
318,Alameda,0.39899999999999997,193.0
319,Los Angeles,0.048799999999999996,41.0
320,Los Angeles,0.1333,135.0
321,Los Angeles,0.8785,181.0
322,Riverside,0.4048,252.0
323,Riverside,0.0,4.0
327,Contra Costa,0.15810000000000002,291.0
328,Los Angeles,0.354,161.0
329,Los Angeles,0.0,4.0
330,Los Angeles,0.3579,95.0
331,Los Angeles,0.5522,67.0
332,San Bernardino,0.2353,17.0
333,San Diego,0.0,5.0
335,San Francisco,0.0,8.0
336,San Mateo,0.0,3.0
338,Contra Costa,0.0,1.0
339,Contra Costa,0.0,1.0
340,Kings,0.32909999999999995,79.0
341,Los Angeles,0.3268,254.0
342,Los Angeles,0.3177,192.0
343,Los Angeles,0.3071,127.0
344,Los Angeles,0.7156999999999999,204.0
345,Los Angeles,0.0789,38.0
346,Napa,0.1875,16.0
347,Alameda,0.8436,179.0
348,Los Angeles,0.08,50.0
349,Los Angeles,0.2949,78.0
350,Orange,0.4233,489.0
351,Riverside,0.2389,113.0
354,El Dorado,0.0,12.0
355,Riverside,0.37810000000000005,201.0
356,San Diego,0.2637,201.0
357,San Diego,0.2561,82.0
358,Tulare,0.6154,26.0
359,Tulare,0.0,11.0
361,Santa Clara,0.4459,148.0
362,Santa Clara,0.6754000000000001,268.0
363,San Luis Obispo,0.6335999999999999,131.0
364,Santa Clara,0.9695,197.0
366,Sonoma,0.6122,98.0
367,Santa Clara,0.5906,171.0
368,Stanislaus,0.5,20.0
369,San Mateo,0.5714,77.0
370,Santa Clara,0.0,2.0
371,Sonoma,0.0,3.0
373,Stanislaus,0.5176,199.0
374,Ventura,0.8903,155.0
375,San Bernardino,0.0,1.0
377,Stanislaus,0.3182,66.0
378,San Joaquin,0.4242,33.0
379,Santa Barbara,0.0,1.0
380,Shasta,0.8472,72.0
381,Shasta,0.8116,69.0
382,Sutter,0.0,1.0
383,Contra Costa,0.32939999999999997,85.0
384,Los Angeles,0.08220000000000001,73.0
385,Sacramento,0.40409999999999996,245.0
386,San Diego,0.6218,238.0
387,San Diego,0.5982,112.0
388,Yolo,0.7895,38.0
389,Contra Costa,0.9037000000000001,270.0
390,Los Angeles,0.0,2.0
391,Los Angeles,0.0,9.0
392,Los Angeles,0.0704,142.0
393,Marin,0.5635,126.0
394,Marin,0.0,3.0
395,Sacramento,0.15289999999999998,85.0
396,San Diego,0.11900000000000001,168.0
397,Stanislaus,0.47369999999999995,171.0
398,Los Angeles,0.34740000000000004,95.0
399,Los Angeles,0.060599999999999994,33.0
400,Madera,0.3521,71.0
401,Orange,0.9381,113.0
402,Orange,0.21109999999999998,199.0
403,Orange,0.3643,129.0
404,Orange,0.4386,114.0
405,Orange,0.7241,203.0
406,Placer,0.6970000000000001,165.0
408,Contra Costa,0.3654,208.0
409,Contra Costa,0.1242,322.0
410,Los Angeles,0.0973,185.0
411,Los Angeles,0.6364,66.0
412,Los Angeles,0.0,2.0
413,Los Angeles,0.41759999999999997,91.0
414,Los Angeles,0.08259999999999999,109.0
415,Los Angeles,0.7820999999999999,179.0
416,Los Angeles,0.0,68.0
417,San Bernardino,0.0,5.0
